taxa_clean,wm_g,dm_g
Hydrobiidae,0.129,0.0846
Hydrobiidae,0.0592,0.0407
Hydrobiidae,0.0234,0.0148
Hydrobiidae,0.0307,0.0198
Hydrobiidae,0.0027,0.0016
Hydrobiidae,0.008,0.0044
Hydrobiidae,0.1202,0.0724
Hydrobiidae,0.0789,0.0453
Hydrobiidae,0.1631,0.1033
Hydrobiidae,0.1115,0.0734
Hydrobiidae,0.2975,0.1742
Hydrobiidae,0.0227,0.0146
Hydrobiidae,0.0181,0.0108
Hydrobiidae,0.0333,0.0147
Hydrobiidae,0.0073,0.0032
Hydrobiidae,0.2994,0.1486
Hydrobiidae,0.0034,0.0017
Hydrobiidae,0.0325,0.0195
Hydrobiidae,0.079,0.0463
Hydrobiidae,0.2888,0.1536
Hydrobiidae,0.3571,0.2034
Hydrobiidae,0.044,0.0209
Hydrobiidae,0.066,0.0299
Hydrobiidae,0.2075,0.1248
Hydrobiidae,0.1654,0.1086
Hydrobiidae,0.1467,0.0821
Hydrobiidae,0.1534,0.0859
Hydrobiidae,0.0495,0.0269
